"idRecibo","Recibo","PrimaNeta","PrimaTotal","FechaRecibo","Situacion","Obs","Polizas_id"
"32","0","239.99","665","2024-03-05","Pagado",NULL,"-1486818709"
"33","0","698.71","665","2024-06-05","Pagado",NULL,"-1486818709"
"34","0","2808.81","3501.47","2024-09-08","Pagado",NULL,"-1485397809"
"35","0","1354.28","1749.76","2024-08-13","Pagado",NULL,"-1327165340"
"36","0","255.12","300","2024-07-22","Pagado",NULL,"-1302476122"
"37","0","296.92","300","2025-01-22","Pagado",NULL,"-1302476122"
"38","0","296.92","300","2024-01-22","Pagado",NULL,"-1302476122"
"39","0","426","600","2024-02-13","Pagado",NULL,"-1275592574"
"40","0","500","600","2025-02-13","Pagado",NULL,"-1275592574"
"41","0","500","600","2024-08-13","Pagado",NULL,"-1275592574"
"42","0","209.46","190","2024-04-18","Pagado",NULL,"-1026797168"
"43","0","322.75","190","2024-10-19","Pagado",NULL,"-1026797168"
"44","0","181.27","190","2025-04-18","Pagado",NULL,"-1026797168"
"45","0","383.45","450","2025-03-30","Pagado",NULL,"-748425947"
"46","0","383","450","2024-03-30","Pagado",NULL,"-748425947"
"47","0","383.45","450","2024-09-30","Pagado",NULL,"-748425947"
